enrollment_id,object,interactions,event,source,course_id,username
1, cF0fMr9vkStFpfEj29U5ljbhNLciMaZq, 13954, navigate, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, mphQZMqeGhpjyWlhFbnXSc23PsmhaGlY, 14205, navigate, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, 0YOZabQaEK4NTvA6xOE5YZQj7UdVLHvJ, 8194, access, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, 8HaEkId8KHyhJ0pzybn2H5EUUSuzMoOW, 7402, access, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, B5d404cq3fvYiuV0CZGRdIj5YiDNRLAq, 6549, video, browser, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, 06mADydbevB6aCjIcXkGk0oAcwZy1Hqj, 4670, video, browser, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, a1IS0Jf3ZTxmDhbfkXDKUCVGI0oUWWUX, 2988, video, browser, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, L7tDvFV8rqdswoMaNgxWewa0Up3P7PC5, 3957, access, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, y1Iq4ZjBESDoPpWSw50fBY89zOTTuTTD, 2217, access, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, N8lb4c0CDJNtOSZONj2ZKsEmXwZoEwXY, 2878, access, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, 46mqwKmgqhDUcUwCOl4iTWZQd1rGnfcd, 182, video, browser, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
1, Oj6eQgzrdqBMlaCtaq1IkY6zruSrb71b, 521424, navigate, server, DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila, 9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0
