index,id_curso,usuarios,curso,interacciones_curso
0,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0,L1s4VseGlRT302GZlJNStvtJZnvnr3IJ,1029
1,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,HxVne4dRqhXXf9FEsuUxVBG2THLkXgGV,839
2,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,FIHlppZyoq8muPbdVxS44gfvceX9zvU7,3fpwAdewUyNZkLToSwy7eWQmmglHzA0G,289
3,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,qEdbIFRbbfpjN4tkWOq8kMsxES84yPfy,633
4,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,dpK33RH9yepUAnyoywRwBt1AJzxGlaja,q9vSHnqnL8T6MSYy1QZ1d1v8gb7HqKIc,23
5,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,jChJZWA7TPrU7h1y5uZfnwajue9MzGBn,1047
6,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,J1oRHoSJOInehnrxVdh32dK7QnDuCJWo,54D4zY2cdRyG83ZfykBka35LzNS04AXi,135
7,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,9tsGjrRgtMZ6V7yrAOyfOQPZHaltDHAp,zDoPYVWL0APn1CAim3uMOBoSA6sGt9MZ,127
8,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,hDbSkVrFRj9Ryk3c5E1JYJQLyxm4jLRb,lFaL098pNcCMxay4b7YvzwmolqCVT03N,795
9,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,XOhIczT5nEeO52jMq1vN7QziDk8L2jnI,I6LKQXheMldlnI1vCTZBBVq3RxLAOxpE,102
10,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,mPSPvu82Gr17tV9GJ95bDC7exvsVnwDE,0lrB7xh60Mnfp83JZY0GbnYiVgQIcdBz,832
11,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,b0Hk5D3sJulvyuC4JEm5kvAvOLAxswgQ,W569V82FPFMc3YKyMh7mUoAaiYAESfci,153
12,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,t62YLbx6JfoGf6znvwn2yvoAkQP47N3O,646
13,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,sZheQFLQDOSqmjBA12i2NVVuHTmiLaDm,1879
14,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,9bc4yoavNlSifbTbZjUCdAQenbV5LByB,308
15,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,vcAiZWU2sfUKO0mnfjDwm0iTzACrKr78,1KcQ0YSPih8dCJxia9uRrGylbGPaEsTO,10
16,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,EwNhr3X73GNTY20P0JN6AlQndvSuRwhN,241
17,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,JPkczYOxyoDZBjwZAAQHmjpSvnPQzwV0,PdIDJgFPNrcCtmegviCbPbzeyoQF0K58,454
18,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,6mzGZyDGSLMvgMQyFwXmz47ojS1kH3j6,imDqISq6D3vp4nqjskdKt4XxLvD9AOUd,424
19,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,Jm4nQ05ndX10jbofbWx6S0r9VXrqia6S,LHbqwkRX6hEG5rc7z2hNSfpcUSDHLo4m,237
20,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,oX0xmFM00RD2zpxC8x8yI57WZl7jF3OW,g0Q3zVjvoz0dyzIsXyQfhX0ebFH0AJ5Y,795
21,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,pIaiksmmvVAc0JI20ybkYLRLoGiY1oa0,4ce8fAjrMeCFTlKZuofQEOaULIdbRAe8,2
22,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,h1ch77pnXr6XYHCPYxJr5INwsVTtMXlo,172
23,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,hnewTKKnZRwEeXEZu9RmHHva1PDybMo2,mvpQStOh3NAWL5lbi2QPNGjmUyhjUQNO,2475
24,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,1ELMItXjpijnCZU4WKxvrVri8AjkR2gf,0YtnClw7eYjb0udEXkrjAQxRY1v9lxJ2,336
25,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,hqINOwgj0k0SdGyQcAejywUCcczZLa6O,1589
26,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,tuDZdrXYmfYyUTk9o4VV3bU6I88AqiiJ,484
27,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,bYjPoNbc5ILh7K7s9YR8HLOMNJGN6Ums,w7rr3etQTv55jXxNPaOrMOMnPd7Lnib7,1
28,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,W2zRYlzk0ei7cx2ruEYRDHanjAoUayvK,vWL7Cm1K6qVs98rSJ1RtUn3sEJvt0nrh,281
29,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,vDCA6A8V8iNu9PnQcHHjWg8eeAvtWhvD,rwu7P61ZY6diHNxWKs3zgKaqC5lRUHk7,1158
30,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,oc1EMnchQBmbWlIpHBHLzadUivTJPdfL,aTnZg46nDf1IJWjZU4XQUQU6Wv9K2GgM,156
31,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,ILJdHKd9sipOVJIPv04tD1xzhHEbljZh,90
32,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,DOQEvMJBYQqkprn6a49Y1StW9VE2RWsv,qkpA8v0LrktnFguz4hqUEgNKVNLxgz3t,245
33,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,RC5QsgGp5CEBoTIVkfYtUyhSaeGU1kpt,eb4qnBWdXppacCTDJxwizhgIGyXjEIJ5,256
34,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,H4EpzfhBZTBMvIrjQViqhdqLon30wgHK,p6ZaxyQY57wkUzb5r6xVkOrgd0QOXFsu,67
35,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,aQe5kaSHlc8it9UOq6Tc0Vr1jiUXnGAn,43UviPKQQIGrFo6RbOKQFtZNn8AidYA6,185
36,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,TX9kR82HceJr4Au9oXOB8xgM5CWqEcLn,kYut8KVi9bUfNJfBh7nThxZ7NWClg5KY,449
37,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,wNnFwbbuJ0G8aAWAVUNIZD5LHyqBDZ9j,F5Wy6EUeCZmTJDssZyl7J96CetUccZpL,146
38,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,Zl8ThqnwtmFsX5mPsLsbut5BCVNIbE7S,mq2oOcVUhjfPK82lDdiNy312JszVFIOm,362
39,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,3OncZU7BUvaKEvQHiFBN6tDW0ljGKx7s,2IJkG4Uq2mbWBLh1GLufLKwSie3yxUsC,411
40,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,eoY58NwX7OVcm2sOG1AAgydEA1V5TiLJ,QxNUNRYAxPyGUYy2JR12DVcripoHsL2d,115
41,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,gCJybHwzj5IG8eLcBM00cu3kCiCSwLYH,XJgPyHHKCy5MfCYi6mA5uMTsv4PoSYU5,259
42,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,2TH62eGTXodwEhpz0R2r2PGNllCzjSnV,lw0cv1cEZEIwVO993M85JRl5gwSmc2ZL,454
